Date,SampleSize,Cohort
2017-04-27,8,Popart-Zambia-Central
2017-04-25,3,Popart-Zambia-Central
2017-04-26,1,Popart-Zambia-Central
2017-04-28,1,Popart-Zambia-Central
2017-05-02,2,Popart-Zambia-Central
2017-04-12,4,Popart-Zambia-Central
2017-04-13,3,Popart-Zambia-Central
2017-04-18,3,Popart-Zambia-Central
2017-04-21,3,Popart-Zambia-Central
2017-04-19,3,Popart-Zambia-Central
2017-04-20,1,Popart-Zambia-Central
2017-04-24,1,Popart-Zambia-Central
2017-05-04,3,Popart-Zambia-Central
2017-05-05,2,Popart-Zambia-Central
2017-05-09,3,Popart-Zambia-Central
2017-05-10,3,Popart-Zambia-Central
2017-05-11,3,Popart-Zambia-Central
2017-05-12,1,Popart-Zambia-Central
2017-05-15,6,Popart-Zambia-Central
2017-05-16,4,Popart-Zambia-Central
2017-03-01,2,Popart-Zambia-Central
2017-03-06,4,Popart-Zambia-Central
2017-03-07,5,Popart-Zambia-Central
2017-03-09,2,Popart-Zambia-Central
2017-02-16,5,Popart-Zambia-Central
2017-02-20,7,Popart-Zambia-Central
2017-02-21,2,Popart-Zambia-Central
2017-02-22,4,Popart-Zambia-Central
2017-02-23,2,Popart-Zambia-Central
2017-02-14,1,Popart-Zambia-Central
2017-02-15,2,Popart-Zambia-Central
2017-02-24,1,Popart-Zambia-Central
2017-02-27,1,Popart-Zambia-Central
2017-03-20,6,Popart-Zambia-Central
2017-03-10,5,Popart-Zambia-Central
2017-02-28,5,Popart-Zambia-Central
2017-03-14,8,Popart-Zambia-Central
2017-03-21,3,Popart-Zambia-Central
2017-03-27,13,Popart-Zambia-Central
2017-03-23,6,Popart-Zambia-Central
2017-03-30,4,Popart-Zambia-Central
2017-03-22,1,Popart-Zambia-Central
2017-03-28,8,Popart-Zambia-Central
2017-03-29,3,Popart-Zambia-Central
2017-04-03,4,Popart-Zambia-Central
2017-04-04,6,Popart-Zambia-Central
2017-04-11,5,Popart-Zambia-Central
2017-03-16,4,Popart-Zambia-Central
2017-04-05,2,Popart-Zambia-Central
2017-04-06,3,Popart-Zambia-Central
2017-04-07,1,Popart-Zambia-Central
2017-04-10,2,Popart-Zambia-Central
2017-02-07,2,Popart-Zambia-Central
2017-02-06,3,Popart-Zambia-Central
2017-02-08,3,Popart-Zambia-Central
2017-02-09,7,Popart-Zambia-Central
2017-02-10,3,Popart-Zambia-Central
2017-02-13,6,Popart-Zambia-Central
2017-01-20,4,Popart-Zambia-Central
2017-01-23,2,Popart-Zambia-Central
2017-01-24,3,Popart-Zambia-Central
2017-01-25,3,Popart-Zambia-Central
2017-01-26,3,Popart-Zambia-Central
2017-01-31,3,Popart-Zambia-Central
2017-02-01,10,Popart-Zambia-Central
2017-02-02,7,Popart-Zambia-Central
2017-02-03,2,Popart-Zambia-Central
2017-01-10,4,Popart-Zambia-Central
