Time	Mean	Median	Upper	Lower
2019.0	22996.967799788687	22720.0969359715	60604.57677137419	8909.6445461553
2018.0	44662.76956427869	44130.7383355052	69223.5964100763	27857.168203246627
2017.0	60666.37026248576	60087.65284880372	92793.95217021952	40950.396677412355
2016.0	64950.529972097866	64221.82791152763	104353.3193018042	39305.392035168414
2015.0	49369.950479073756	48931.91041679437	79227.21183015991	31649.29966158625
2014.0	61294.06589681171	60286.52908108637	104046.73054468146	36206.761766825424
2013.0	68579.60720906606	67143.9577729489	122659.93750176864	40024.01474263757
2012.0	66013.7436886202	65322.6685889312	116455.69815958737	38083.17084782256
2011.0	68811.1920917127	68078.3039933085	123855.55680479459	39618.810827737034
2010.0	83436.31495511536	81948.49001538135	155937.33546699455	46372.98317434753
2009.0	84164.49908408274	83242.50951291756	158067.35991805882	45896.290102450934
2008.0	71516.85934094906	70498.76161584561	124254.15322271454	38303.63659715081
2007.0	77441.72000321705	76280.7892759471	144353.64964481036	43571.440878420755
2006.0	86602.7662002449	85535.45794408124	160682.5521173894	46891.541840779755
2005.0	98232.46388909758	96469.31009065876	193878.54138865994	51860.58972017952
2004.0	99853.34805463805	98722.10712739812	202141.62078420227	52966.25310553886
2003.0	91432.95276655836	89403.05482603816	184117.73266540424	47674.14593422345
2002.0	80704.03088325595	79153.22128331759	161767.27474103175	42478.930864815025
2001.0	72601.21368146622	71271.2404649505	142186.40296028877	37280.532895895034
2000.0	61752.55947694833	60496.73705651477	123054.45670476496	33385.002751269974
1999.0	43628.58687684605	42719.08624189335	82883.9370556409	23382.705831204672
1998.0	25117.363213986257	24763.07084417606	46388.67616327889	14239.012199504366
1997.0	14144.59073126919	13916.256911163598	23255.005760874647	8351.36758503056
1996.0	9270.919737603175	9070.633810104235	15496.648815462584	5932.718327440782
1995.0	7328.975221128907	7246.468613751193	11422.84339252437	4821.155563625434
1994.0	5822.389423028316	5779.334211679037	9013.986145508294	3837.440443966667
1993.0	3811.7900829875075	3750.9443178016854	5683.575292476898	2598.4625216484937
1992.0	2248.6142699937955	2228.087323742487	3093.2910807292888	1607.1618587597752
1991.0	1454.816538987478	1442.326242846053	1982.477136169666	1079.3655573064925
1990.0	814.3790229092144	810.128483731984	1105.07685005715	595.727419221531
1989.0	346.82218168382724	344.7791327491061	464.177957131868	254.32262591360063
1988.0	150.99916845176566	150.7718133557583	203.91515841541002	110.09793100763628
1987.0	79.30572215494429	78.58536668321098	117.9363712121919	53.66547047708507
1986.0	73.37905234250057	72.14621069805926	123.23122996494976	44.30425992930081
1985.0	59.467012509015426	59.041792731178035	109.08070034919703	32.757603698023914
1984.0	50.70506445472431	50.38802731870184	106.04737534037588	24.593938933529465
1983.0	37.31323879832291	36.779171910218345	85.11341169025361	17.01866436873024
1982.0	32.64923162324932	32.002302949333405	78.16593090822964	13.940818843183637
1981.0	46.23335154718983	44.665363880092876	137.3491250173355	17.881668335284942
1980.0	58.57717079756904	56.90258926170068	166.3098158633991	19.903447601268986
