Time	Mean	Median	Upper	Lower
2019.0	8458.338992120822	8403.804106734919	51843.72773210794	1299.1591535979571
2018.0	8127.805842713134	7953.757575048025	33460.32093052193	2058.7375759114293
2017.0	9183.885141117604	9056.774984180189	26235.64800764399	3226.815844497894
2016.0	13973.213412363266	13662.643455715757	32137.645822397357	6141.947354633577
2015.0	27468.872932719198	26774.592653839387	66143.83080061858	11359.556797985713
2014.0	30662.27065635371	30149.88049129068	79732.48034333471	12789.721357292538
2013.0	31515.8553670693	30707.1919761104	73448.47891937834	13152.338522898168
2012.0	25819.59356165728	25488.69141417977	55644.76816234233	12255.732403232874
2011.0	30239.93956657078	29776.473284386557	66256.44337491339	13758.516797942806
2010.0	42042.01612961886	41132.331554840384	101629.67383069717	18296.822598660645
2009.0	57487.716351996554	55618.92959071979	159469.1031059174	22269.594561776878
2008.0	62067.98430437697	60071.65999094543	171257.5125726738	23615.591727274765
2007.0	49664.21864689303	48221.10008708745	130663.09832953372	20364.644057860965
2006.0	41034.45994916109	40156.930577566694	110459.68074913739	16825.738625350576
2005.0	36049.0263366847	35433.507655230496	88895.55990794193	14167.094702087417
2004.0	35389.15326991913	34852.54561555872	86865.2443574337	15120.402607404876
2003.0	36760.451720220815	35874.42690356446	92607.21538262573	15196.772109991043
2002.0	40594.4993475293	39374.03900458294	102611.85912578944	15930.119916018715
2001.0	47929.858649991475	46997.70857860367	130977.23531080892	18589.61679783482
2000.0	52645.54061769857	50923.80945510333	145173.35151079105	19909.82468076485
1999.0	48469.62346436868	46873.766892799154	134579.37050259594	18165.735928729086
1998.0	35026.08880917538	33733.52608985104	95894.48111409046	14211.073394162751
1997.0	19350.288084597152	18937.09263704238	45919.050635709	7914.048487995115
1996.0	9761.665132930946	9566.923581759553	21019.630550124723	4625.658178548078
1995.0	5890.285911869313	5758.302936281541	11775.106203179344	2991.551080166361
1994.0	3736.53598100967	3662.621638701734	6997.2515978560605	2100.1608780647293
1993.0	2285.3574587563935	2248.051144386879	4103.899939062557	1357.3294983260196
1992.0	1382.696854864675	1358.819130411792	2325.1469826808375	852.6016573192724
1991.0	798.3013707505476	790.9543120064562	1237.4074568856813	520.5002076076831
1990.0	505.2050545531942	500.1183191692541	779.7061074774953	333.00158787057205
1989.0	344.79725584181506	340.1789548471587	518.1889370171008	225.2663766527221
1988.0	277.70784966448235	274.38621779275354	453.4921993382911	176.01639485678265
1987.0	220.93971919307356	218.305468347967	362.8954510518301	138.5333987678769
1986.0	231.24552290467068	229.24351652884113	448.51747109319484	118.79127283440873
1985.0	72.47747649051813	68.26124768364001	154.54932083431467	39.76662818325639
1984.0	70.55713008195575	69.68562318778228	136.67944126625756	37.15678665438241
1983.0	84.69181630606995	83.34110372119072	179.0202751658395	41.1732473934603
1982.0	101.79267081268011	99.40132756700565	231.5780282037214	45.615503549184595
1981.0	119.60264093013242	115.66419422562832	315.279581927611	50.679857917373
1980.0	132.2788258054057	128.07911046415367	347.07365467728107	49.845749079548646
