Date,sampleSize
2018-04-20,4
2018-04-23,1
2018-04-26,1
2018-05-03,1
2018-05-07,3
2018-05-08,2
2018-05-09,1
2018-05-10,3
2018-05-11,3
2018-05-14,1
2018-05-15,1
2018-05-28,12
2018-05-29,5
2018-05-30,1
2018-06-01,4
2018-06-05,1
2018-06-06,1
2018-06-07,4
2018-06-11,3
2018-06-13,5
2018-06-14,3
2018-06-18,1
2018-06-19,1
2018-06-20,2
2018-06-21,1
2018-06-27,1
2018-06-28,2
