Time	Mean	Median	Upper	Lower
2019.0	50.503397400593684	49.867978157593946	218.87169378353525	12.161224752851453
2018.0	66.96837039551899	65.76895890739213	142.26651491892034	30.227601546327957
2017.0	360.4277424574587	355.96823590280337	636.9370920030541	207.7053311122768
2016.0	869.7290942696691	857.6745145498749	1418.6581178834228	528.7412969075867
2015.0	1276.7038377167717	1262.945178400363	2142.5642276331696	775.7967856054511
2014.0	1461.8237222592122	1451.5511174884477	2219.486760066157	972.4910336376568
2013.0	2276.3263912507246	2259.1074511926277	3257.979383093119	1605.5464771855097
2012.0	3583.5745005615468	3564.9865145198905	5268.573907139823	2483.4687852520133
2011.0	6386.829466110607	6291.403850115241	11062.452781526192	3945.326784750494
2010.0	12958.486306721457	12648.955172648448	27232.627897879807	6590.208598030231
2009.0	15571.63220508376	15250.382298907116	34691.733561918634	7475.291503249174
2008.0	28479.901497045834	27712.098668054805	71817.42959493243	11569.97951901123
2007.0	59409.17911872061	57582.88853527251	175635.20358590584	20535.448327505677
2006.0	86642.93261321573	83545.96042425686	281894.2800614533	28571.26120066397
2005.0	97897.38718797691	93620.87054639701	323552.3856985975	30819.155631636444
2004.0	83942.98428991793	80500.17070360418	279276.2941141479	27406.906766449534
2003.0	53252.242029005436	50969.82392095853	167215.22975634367	19393.55696214787
2002.0	30227.405604069558	29249.323539698897	83434.12561258992	12050.201652073649
2001.0	16849.179511080725	16369.194236622205	41368.674411186956	7167.209781293014
2000.0	9540.805317489152	9289.332004747159	21838.569065289284	4592.963138231455
1999.0	6169.909067447925	6014.738345510041	12727.456018288976	2955.2927941771254
1998.0	3695.527713639021	3604.8227132376073	7264.976748384405	2004.632552689465
1997.0	2356.794170809586	2313.348124991233	4169.60800266852	1372.0071187443825
1996.0	1847.0157644237165	1812.8318324620484	3193.5346544540953	1099.2825119855038
1995.0	1169.0960596425477	1153.5227077724949	1898.180536441462	748.2704295139171
1994.0	853.0800832017101	843.293914678996	1344.5303742437236	543.7511069709534
1993.0	660.8120107339589	651.3788257896698	1049.5822162168183	426.39221934539296
1992.0	426.1273313510737	418.12898839822606	721.8131352689602	260.6456554028655
1991.0	358.90757768941177	350.40330643346067	646.2719958361495	207.28479440262254
1990.0	410.34587189776755	401.49072955348566	755.4141409685876	227.70152645367494
1989.0	329.3308161859633	322.20953552454597	628.7285228656779	181.52640554537487
1988.0	308.71386033117994	304.6928958238632	609.4577722525037	160.5347910776668
1987.0	255.35057959074902	250.85931657630832	534.7441262608701	125.84279419344197
1986.0	139.46522813396277	135.0491744483208	286.4848361361633	65.26673071412255
1985.0	162.9654462341438	156.66196606085066	412.8177304069853	66.37197902639713
1984.0	264.73478308157655	256.69627371219644	680.1772618458753	107.69684321414776
1983.0	242.22168157781365	234.73967231033888	659.0788172902211	97.04115708126437
1982.0	153.58017512393909	150.0864384592261	404.6026512968654	63.66998437619797
1981.0	138.05439676067434	135.73997384943257	356.4671728415769	58.53286708986195
1980.0	158.4870940036268	152.96586615624102	422.4666628141055	60.44641291978283
