Time	Mean	Median	Upper	Lower
2019.0	12323.83084973598	11600.727586391478	155771.8368406155	1040.9854302284236
2018.0	11323.361319579628	10607.98516046077	74935.66174322962	1821.6525155221354
2017.0	13298.446453193446	12610.963612899703	68645.02020631389	2586.9191189295825
2016.0	16552.447047482343	15720.77514616848	73295.77148852737	3673.74126725683
2015.0	19803.510256018864	18919.533547017567	72378.77210597217	5101.116903393259
2014.0	20333.432860240402	19510.338188933718	67029.6758737506	7318.94202970575
2013.0	12715.501051046476	12310.69648506	30823.976653855607	5246.9094463162555
2012.0	6007.073498555499	5838.458269954568	12253.486243084426	3003.6919461952602
2011.0	1194.0014784711434	1190.003091975996	1606.5807744079011	895.6246034145734
2010.0	1059.4371027908921	1056.6159309753793	1379.978755682648	796.9375435453695
2009.0	961.1765332403214	958.8899794735182	1242.0898413224734	748.1211410208465
2008.0	3209.938485412701	3161.7048314078124	5648.846570600236	1908.4855141279218
2007.0	14081.640497822042	13510.655212393678	39396.836128674004	5572.508446629186
2006.0	22551.600435991353	21573.40421264272	68229.50313306617	7839.039217816656
2005.0	27210.490355880393	26110.925444542074	91012.72420624709	9130.214413279591
2004.0	27033.058087852613	25860.13619681664	92996.88262607522	9057.664999103019
2003.0	21826.121776009535	20998.61592179763	72075.52159965142	6971.59380582209
2002.0	13325.336456797984	12824.36645891294	37523.92646055209	4536.293005252518
2001.0	6435.122132261701	6202.150260356027	17610.203894749255	2732.4630394755945
2000.0	3639.2812260719143	3507.5101143336296	8639.387862192349	1694.2451651872866
1999.0	2278.7207998005224	2194.2373744805577	5071.547070657614	1092.1649390071698
1998.0	1333.6280995999655	1303.0474977677625	2578.708596087241	723.922967677406
1997.0	949.1319899965896	924.691108658602	1762.5962323449505	541.1769343061612
1996.0	745.3965129799946	728.2079975562112	1320.1897934516792	408.62684139834994
1995.0	664.2581383117728	644.4574397040867	1248.7416531979452	370.09714014147096
1994.0	637.6084025183459	616.9835954761994	1311.604295676687	332.84468642345973
1993.0	492.9511858476296	476.8834843492779	1029.2719370842424	251.49587008827245
1992.0	410.2889450705937	398.03637112211464	863.4891911605345	201.34194365551878
1991.0	254.75324311553425	248.31830633694014	539.1978448551678	126.68991882657406
1990.0	115.70850172332214	113.29303176503299	223.25971258992058	62.76751868032278
1989.0	57.690809553279806	58.05846889996263	120.95156191521491	26.18674470740056
1988.0	18.21204633285342	17.51998006740725	37.61045805777472	9.30201168084855
1987.0	20.302989120348528	19.873746020979716	55.440497025771904	7.972255008321517
1986.0	13.357924862614492	13.00387618512379	37.92499018653053	4.796060709769558
1985.0	8.536439751605219	8.426037414982435	29.734583033982446	2.5073986212857244
1984.0	5.36086604312816	5.26403377207667	19.941845893718394	1.4186585482090472
1983.0	5.542679836639064	5.278707919540059	30.60372831853456	1.1895868410717372
1982.0	8.541113078602567	7.863851508966418	57.90148742417177	1.117184975676871
1981.0	13.321157292772895	12.250028262886218	117.95975822475738	1.497223377808115
1980.0	18.318929616216323	16.65557031980078	196.69948019923507	1.7564184444697613
