Time	Mean	Median	Upper	Lower
2019.0	133.90161946198796	131.00986865103397	1174.2952361299251	16.571941496621996
2018.0	128.78542461679342	126.2086895811935	727.3810242002256	22.207055528118172
2017.0	118.38423071554357	114.3460855751374	432.9191185398919	32.99427864560148
2016.0	108.77340858580435	105.37244638058694	298.14596408824815	38.78899062742037
2015.0	475.36119156907154	467.8825209787109	1405.7498757773842	165.91762729734893
2014.0	1245.073713130384	1216.6744881929123	3389.6668572174376	495.28349372417813
2013.0	4111.991079168001	3998.4424337090663	11253.85674460575	1553.7440851467968
2012.0	8389.529859402139	8206.031821817178	22488.777500448792	3303.910881267653
2011.0	11643.467223510634	11349.007946698737	26962.985419982022	5064.2215927092275
2010.0	18022.589865562222	17649.710239314798	42700.53733824097	7319.460890344634
2009.0	21350.67543710962	20792.211682560457	52522.028602984865	9782.84945493553
2008.0	25604.359457650844	25103.93280151303	59165.36229763857	11253.696492754163
2007.0	41251.19539065722	40277.763807645635	88992.09548122034	19235.366521087097
2006.0	61894.84223764338	60833.45443619034	136951.39208889208	29721.04730727114
2005.0	63676.78435081028	62796.754202899436	136391.83031933464	29872.691737476733
2004.0	97554.42629335917	95627.61166084788	228309.37096804415	42712.70475663618
2003.0	114112.15088957241	111399.98612276911	267735.62196249573	50042.28065440587
2002.0	143894.10682553385	139642.77074571792	355010.8221034922	60542.6808325345
2001.0	168721.05132648043	164445.35395203612	424722.35611856764	70322.67363090868
2000.0	192369.85594107336	187892.14487442738	488681.7464114131	78569.49270319518
1999.0	208787.68967614876	203669.11454986993	536017.3599188275	83530.25144448628
1998.0	222060.91165373402	215352.72172890813	567371.9577314602	87321.11782540352
1997.0	221198.1587135224	214842.1152350924	607137.8833455836	87433.26196877312
1996.0	167080.71279211083	161730.02215445592	441829.04323864874	68092.16986725567
1995.0	83040.82265644801	80862.5348026169	192908.69446244498	36925.82637023852
1994.0	32986.231244803384	32291.607545201816	67578.12393936265	17552.21401912161
1993.0	18377.669408293874	18037.182761631837	32767.336768130906	10572.348233521745
1992.0	13206.658756096675	12993.154816992754	22678.941075973755	7580.597889597486
1991.0	8074.896824071437	7952.236199760361	13139.653148045243	5190.415859220159
1990.0	6668.127134547942	6553.499390564487	10745.781349531975	4340.763221156936
1989.0	4785.175783552224	4726.261821709381	7411.347516645925	3144.2524373435117
1988.0	3330.733109975144	3301.366650563534	4785.826740182349	2338.3275881590057
1987.0	2955.9447912520654	2931.980020006402	4260.660172565229	2045.155404526028
1986.0	2615.734250937498	2577.466137256489	3969.9513044406826	1731.8508768986007
1985.0	1878.989342832964	1861.2808644451682	2824.057519604435	1276.4603964075218
1984.0	1182.2805118191243	1170.6523189897584	1726.7347067487465	832.2161432749502
1983.0	1005.9410861436323	993.0046043022006	1524.8354668423976	699.0376920025574
1982.0	740.6404329200965	730.8760939796038	1154.0877198051105	498.87662332491766
1981.0	542.7942088845089	535.6656087650131	839.64849737926	349.8777093216147
1980.0	568.4905768743088	551.7684175403485	1012.1090483655769	333.0189309941847
