Date,sampleSize
2012-12-18,2
2013-01-07,1
2013-01-08,1
2013-01-09,1
2013-01-10,1
2013-01-11,3
2013-01-14,1
2013-01-15,2
2013-01-16,2
2013-01-18,1
2013-01-24,1
2013-01-28,1
2013-02-07,1
2013-02-09,1
2013-02-20,1
2013-02-21,1
2013-02-26,1
2013-03-09,1
2013-03-12,1
2013-03-18,2
2013-03-19,1
2013-03-21,1
2013-03-26,1
2013-04-02,2
2013-04-08,1
2013-04-10,1
2013-04-12,1
2013-04-15,1
2013-05-03,1
2013-05-09,1
2013-05-29,1
2013-06-03,1
2013-06-12,1
2013-07-01,1
2013-07-03,1
2013-07-09,1
2013-07-10,1
2013-07-11,1
2013-07-15,1
2013-07-16,2
2013-07-17,2
2013-07-18,2
2013-07-22,1
2013-07-30,1
2013-07-31,1
2013-08-04,1
2013-08-06,1
2013-08-14,3
2013-08-15,1
2013-08-16,2
2013-08-20,2
2013-08-21,2
2013-08-23,1
2013-08-26,2
2013-08-27,1
2013-08-28,3
2013-08-29,1
2013-08-30,2
2013-09-01,2
2013-09-02,3
2013-09-03,1
2013-09-04,1
2013-09-05,1
2013-09-07,1
2013-09-09,2
2013-09-10,3
2013-09-12,3
2013-09-13,1
2013-09-16,3
2013-09-18,5
2013-09-19,5
2013-09-20,4
2013-09-23,2
2013-09-25,1
2013-09-26,1
2013-09-27,1
2013-09-30,1
2013-10-01,1
2013-10-02,1
2013-10-03,1
2013-10-04,1
2013-10-07,1
2013-10-08,1
2013-10-09,1
2013-10-10,2
2013-10-17,1
2013-10-25,4
2013-10-28,1
2013-11-01,2
2013-11-04,1
2013-11-07,1
2013-11-11,1
2013-11-14,2
2013-11-15,1
2013-12-03,2
2013-12-04,1
2013-12-09,1
2013-12-11,2
2013-12-17,1
2014-01-07,1
2014-01-13,1
2014-01-15,2
2014-01-16,2
2014-01-17,3
2014-01-23,1
2014-01-27,1
2014-01-28,2
2014-02-05,1
2014-02-11,2
2014-02-12,3
2014-02-14,2
2014-02-17,1
2014-02-18,2
2014-02-19,1
2014-02-20,1
2014-02-21,1
2014-02-25,2
2014-03-02,1
2014-03-04,1
2014-03-07,1
2014-03-11,1
2014-03-13,1
2014-03-14,3
2014-03-17,2
2014-03-18,1
